NASA_Name,Canonical_Name,Canonical_Name_Status,ExoMAST_Query_Name
11 Com b,11 Com b,exact,11 Com b
11 UMi b,11 UMi b,exact,11 UMi b
14 And b,14 And b,exact,14 And b
14 Her b,14 Her b,exact,14 Her b
16 Cyg B b,16 Cyg B b,exact,16 Cyg B b
17 Sco b,17 Sco b,exact,17 Sco b
18 Del b,18 Del b,exact,18 Del b
1RXS J160929.1-210524 b,1RXS J160929.1-210524 b,exact,1RXS J160929.1-210524 b
24 Boo b,24 Boo b,exact,24 Boo b
24 Sex b,24 Sex b,exact,24 Sex b
24 Sex c,24 Sex c,exact,24 Sex c
2M0437 b,2M0437 b,exact,2M0437 b
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 AB b,exact,2MASS J01033563-5515561 AB b
2MASS J01225093-2439505 b,2MASS J01225093-2439505 b,exact,2MASS J01225093-2439505 b
2MASS J02192210-3925225 b,2MASS J02192210-3925225 b,exact,2MASS J02192210-3925225 b
2MASS J0249-0557 c,2MASS J0249-0557 c,exact,2MASS J0249-0557 c
2MASS J03590986+2009361 b,2MASS J03590986+2009361 b,exact,2MASS J03590986+2009361 b
2MASS J04414489+2301513 b,2MASS J04414489+2301513 b,exact,2MASS J04414489+2301513 b
2MASS J11011926-7732383 b,2MASS J11011926-7732383 b,exact,2MASS J11011926-7732383 b
2MASS J11550485-7919108 b,2MASS J11550485-7919108 b,exact,2MASS J11550485-7919108 b
2MASS J12073346-3932539 b,2MASS J12073346-3932539 b,exact,2MASS J12073346-3932539 b
2MASS J19383260+4603591 b,2MASS J19383260+4603591 b,exact,2MASS J19383260+4603591 b
2MASS J21252752-8138278 b,2MASS J21252752-8138278 b,exact,2MASS J21252752-8138278 b
2MASS J22362452+4751425 b,2MASS J22362452+4751425 b,exact,2MASS J22362452+4751425 b
2MASS J22501512+2325342 b,2MASS J22501512+2325342 b,exact,2MASS J22501512+2325342 b
4 UMa b,4 UMa b,exact,4 UMa b
47 UMa b,47 UMa b,exact,47 UMa b
47 UMa c,47 UMa c,exact,47 UMa c
47 UMa d,47 UMa d,exact,47 UMa d
51 Eri b,51 Eri b,exact,51 Eri b
51 Peg b,51 Peg b,exact,51 Peg b
55 Cnc b,55 Cnc b,exact,55 Cnc b
55 Cnc B b,55 Cnc B b,exact,55 Cnc B b
55 Cnc B c,55 Cnc B c,exact,55 Cnc B c
